Name,Brand,Amount,Unit,Calories,Protein,Carbohydrate,Of which sugars,Fat,Fibre,Salt,Product link
Porridge oats,Tesco Scottish Oats Porridge,50,g,181,5.15,30.25,0.6,3.5,4.15,,https://www.tesco.com/groceries/en-GB/products/254853776
Fage 0%,Fage 0% Total,100,g,54,10.3,3,3,0,0,,https://www.tesco.com/groceries/en-GB/products/268279288
Huel Powder,V2.2,100,g,402,29.6,37.5,0.9,12.9,7.1,,
Choc milk,Tesco Chocolate Milk,200,ml,129,8,17.6,17.4,3,0,,https://www.tesco.com/groceries/en-GB/products/259281275
Soreen,Soreen Fruity Sliced Malt Loaf,1,slice,65,1.8,12.5,4.5,0.6,0.8,,https://www.tesco.com/groceries/en-GB/products/251923641
Alpro Coconut and Almond,Alpro Coconut Almond Fresh Milk Alternative,100,ml,24,0.3,2.6,2.5,1.3,0,,https://www.tesco.com/groceries/en-GB/products/287937656
Rego,SIS Rego,50,g,184,20,23,5.1,1.3,0.3,0.5,
Cacao nibs,Sevenhills Fairtrade Raw Cacao Nibs,100,g,604,13,18.2,1,50.3,13.4,0.3,
Chia seeds,Sevenhills Chia Seeds,100,g,448,22.9,0.9,0.8,31.8,33.1,0,
Almonds,Zeina Raw Almonds,100,g,612,21.1,6.9,4.2,55.8,7.4,0,http://zeinafoods.com/shop/zeina-raw-almonds/
Banana,Tesco Organic Bananas,1,banana (150g),154,1.8,34.8,31.4,0.5,1.7,0,
Sourdough bread,Toasted Sourdough bread,100,g,230,7.8,46.6,0.9,0.7,2.9,0.8,Guess: https://www.waitrose.com/ecom/products/waitrose-1-white-sourdough-bread/493513-373129-373130
Chilli,Homemade Chilli con Carne (5% beef),100,g,104,8,8.6,2.51,4.2,2.7,0.4,Guess: https://www.fatsecret.com/calories-nutrition/generic/chili-con-carne?portionid=50872&portionamount=100.000
Hot choc,Options Belgian choc mint,11,g,39,1,5.8,4.7,0.8,0,0.3,
Peanut butter,Meridian Crunchy Peanut Butter,100,g,596,29.6,11.6,5.9,46,8.5,0,
Choc shot,Sweet Freedom Choc Shot,5,g,13,0.1,2.6,2.2,0.2,0.4,0,
Biltong,Ember Biltong Classic,30,g,92,18.8,0.3,0,1.5,0,1.2,
Eggs,Happy Egg medium,100,g,131,12.6,0.5,0.5,9,0,0.38,
Butter,Anchor salted,100,g,744,0.6,0.6,0.6,82,0,1.7,
Flat peach,Coop flat peaches,1,peach (80g),30,0.8,6.1,6.1,0.1,1.2,0.1,
Costa chicken salad sandwich,Costa,1,pack,352,21.6,41.1,3.8,10.1,0,1.4,
Costa granola square,Costa,1,square,335,6.4,39.3,22.4,16,0,0.1,
Reduced fat houmous,Coop,50,g,93,3.2,5.5,0.6,5.6,3.8,0.35,
Moroccan cous cous,Coop Irresistable,100,g,184,4.2,29,8.7,5.4,2.3,0.4,
Lamb koftas,Coop,100,g,239,16,13,3.5,13,1.8,1.28,
Pork belly,ASDA,100,g,379,23,1.3,0.7,31,1,0.5,
Chicken kebabs,ASDA,1,kebab,87,15,1,1,2.3,0.5,0,
Creamy coleslaw,ASDA,100,g,263,0.9,5.5,5.2,26,1.7,0.5,
Heineken 0.0,,1,bottle,69,0,16,4,0,0,0,
Caramel rice cake,Snack-a-jacks,1,cake,51,0.7,11.3,3.6,0.3,0.2,0.07,
Chia charge banana,,1,bar (80g),357,5,45,22,17,4,0.5,
Frozen salmon fillet,Tesco frozen,1,fillet (71g),72,15,0,0,1.1,0,0,
Tenderstem broccoli,,100,g,26,3,6,2,0,3,0,
Nine bar,,1,bar,228,9,19.6,12.5,11.9,3.4,0.3,
Flapjack,Anita Bean Ultimate Flapjack,1,flapjack,238,7,20,9,14,3,0,
